# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-07-13 14:45:11 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11460151 REDWOOD C A HWY 1 BRIDGE A MUIR BEACH CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11460151
#            TS   parameter     statistic     Description
#         11308       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	11308_00060_00003	11308_00060_00003_cd
USGS	11460151	2016-08-15	0.26	A
USGS	11460151	2016-08-16	0.27	A
USGS	11460151	2016-08-17	0.29	A
USGS	11460151	2016-08-18	0.23	A
USGS	11460151	2016-08-19	0.23	A
USGS	11460151	2016-08-20	0.26	A
USGS	11460151	2016-08-21	0.26	A
USGS	11460151	2016-08-22	0.30	A
USGS	11460151	2016-08-23	0.30	A
USGS	11460151	2016-08-24	0.32	A
USGS	11460151	2016-08-25	0.36	A
USGS	11460151	2016-08-26	0.39	A
USGS	11460151	2016-08-27	0.42	A
USGS	11460151	2016-08-28	0.42	A
USGS	11460151	2016-08-29	0.36	A
USGS	11460151	2016-08-30	0.37	A
USGS	11460151	2016-08-31	0.34	A
USGS	11460151	2016-09-01	0.35	A
USGS	11460151	2016-09-02	0.32	A
USGS	11460151	2016-09-03	0.31	A
USGS	11460151	2016-09-04	0.29	A
USGS	11460151	2016-09-05	0.27	A
USGS	11460151	2016-09-06	0.23	A
USGS	11460151	2016-09-07	0.21	A
USGS	11460151	2016-09-08	0.21	A
USGS	11460151	2016-09-09	0.32	A
USGS	11460151	2016-09-10	0.44	A
USGS	11460151	2016-09-11	0.45	A
USGS	11460151	2016-09-12	0.46	A
USGS	11460151	2016-09-13	0.44	A
USGS	11460151	2016-09-14	0.43	A
USGS	11460151	2016-09-15	0.41	A
USGS	11460151	2016-09-16	0.44	A
USGS	11460151	2016-09-17	0.39	A
USGS	11460151	2016-09-18	0.38	A
USGS	11460151	2016-09-19	0.29	A
USGS	11460151	2016-09-20	0.24	A
USGS	11460151	2016-09-21	0.25	A
USGS	11460151	2016-09-22	0.27	A
USGS	11460151	2016-09-23	0.19	A
USGS	11460151	2016-09-24	0.15	A
USGS	11460151	2016-09-25	0.15	A
USGS	11460151	2016-09-26	0.13	A
USGS	11460151	2016-09-27	0.10	A
USGS	11460151	2016-09-28	0.09	A
USGS	11460151	2016-09-29	0.16	A
USGS	11460151	2016-09-30	0.24	A
USGS	11460151	2016-10-01	0.29	A
USGS	11460151	2016-10-02	0.25	A
USGS	11460151	2016-10-03	0.29	A
USGS	11460151	2016-10-04	0.39	A
USGS	11460151	2016-10-05	0.51	A
USGS	11460151	2016-10-06	0.46	A
USGS	11460151	2016-10-07	0.42	A
USGS	11460151	2016-10-08	0.35	A
USGS	11460151	2016-10-09	0.24	A
USGS	11460151	2016-10-10	0.23	A
USGS	11460151	2016-10-11	0.24	A
USGS	11460151	2016-10-12	0.25	A
USGS	11460151	2016-10-13	0.33	A
USGS	11460151	2016-10-14	1.41	A
USGS	11460151	2016-10-15	1.35	A
USGS	11460151	2016-10-16	2.29	A
USGS	11460151	2016-10-17	1.46	A
USGS	11460151	2016-10-18	0.65	A
USGS	11460151	2016-10-19	0.43	A
USGS	11460151	2016-10-20	0.35	A
USGS	11460151	2016-10-21	0.35	A
USGS	11460151	2016-10-22	0.33	A
USGS	11460151	2016-10-23	0.35	A
USGS	11460151	2016-10-24	0.39	A
USGS	11460151	2016-10-25	2.51	A
USGS	11460151	2016-10-26	1.91	A
USGS	11460151	2016-10-27	1.10	A
USGS	11460151	2016-10-28	4.87	A
USGS	11460151	2016-10-29	4.23	A
USGS	11460151	2016-10-30	6.18	A
USGS	11460151	2016-10-31	4.55	A
USGS	11460151	2016-11-01	3.32	A
USGS	11460151	2016-11-02	2.27	A
USGS	11460151	2016-11-03	1.68	A
USGS	11460151	2016-11-04	1.31	A
USGS	11460151	2016-11-05	1.07	A
USGS	11460151	2016-11-06	1.10	A
USGS	11460151	2016-11-07	1.00	A
USGS	11460151	2016-11-08	0.87	A
USGS	11460151	2016-11-09	0.78	A
USGS	11460151	2016-11-10	0.74	A
USGS	11460151	2016-11-11	0.70	A
USGS	11460151	2016-11-12	0.66	A
USGS	11460151	2016-11-13	0.64	A
USGS	11460151	2016-11-14	0.61	A
USGS	11460151	2016-11-15	0.66	A
USGS	11460151	2016-11-16	0.64	A
USGS	11460151	2016-11-17	0.58	A
USGS	11460151	2016-11-18	0.56	A
USGS	11460151	2016-11-19	4.51	A
USGS	11460151	2016-11-20	12.8	A
USGS	11460151	2016-11-21	7.64	A
USGS	11460151	2016-11-22	4.73	A
USGS	11460151	2016-11-23	5.10	A
USGS	11460151	2016-11-24	4.18	A
USGS	11460151	2016-11-25	3.54	A
USGS	11460151	2016-11-26	9.06	A
USGS	11460151	2016-11-27	14.0	A
USGS	11460151	2016-11-28	9.12	A
USGS	11460151	2016-11-29	6.59	A
USGS	11460151	2016-11-30	5.16	A
USGS	11460151	2016-12-01	4.29	A
USGS	11460151	2016-12-02	3.61	A
USGS	11460151	2016-12-03	3.16	A
USGS	11460151	2016-12-04	2.89	A
USGS	11460151	2016-12-05	2.70	A
USGS	11460151	2016-12-06	2.51	A
USGS	11460151	2016-12-07	2.41	A
USGS	11460151	2016-12-08	7.30	A
USGS	11460151	2016-12-09	20.9	A
USGS	11460151	2016-12-10	205	A
USGS	11460151	2016-12-11	80.1	A
USGS	11460151	2016-12-12	36.5	A
USGS	11460151	2016-12-13	24.5	A
USGS	11460151	2016-12-14	23.3	A
USGS	11460151	2016-12-15	203	A
USGS	11460151	2016-12-16	166	A
USGS	11460151	2016-12-17	55.5	A
USGS	11460151	2016-12-18	32.4	A
USGS	11460151	2016-12-19	20.7	A
USGS	11460151	2016-12-20	13.6	A
USGS	11460151	2016-12-21	9.93	A
USGS	11460151	2016-12-22	7.48	A
USGS	11460151	2016-12-23	15.1	A
USGS	11460151	2016-12-24	14.0	A
USGS	11460151	2016-12-25	10.4	A
USGS	11460151	2016-12-26	7.94	A
USGS	11460151	2016-12-27	6.22	A
USGS	11460151	2016-12-28	5.09	A
USGS	11460151	2016-12-29	4.37	A
USGS	11460151	2016-12-30	3.75	A
USGS	11460151	2016-12-31	3.27	A
USGS	11460151	2017-01-01	2.76	A
USGS	11460151	2017-01-02	2.61	A
USGS	11460151	2017-01-03	15.1	A
USGS	11460151	2017-01-04	98.2	A
USGS	11460151	2017-01-05	54.4	A
USGS	11460151	2017-01-06	34.8	A
USGS	11460151	2017-01-07	32.6	A
USGS	11460151	2017-01-08	229	A
USGS	11460151	2017-01-09	158	A
USGS	11460151	2017-01-10	319	A
USGS	11460151	2017-01-11	257	A
USGS	11460151	2017-01-12	135	A
USGS	11460151	2017-01-13	83.7	A
USGS	11460151	2017-01-14	55.7	A
USGS	11460151	2017-01-15	40.0	A
USGS	11460151	2017-01-16	30.7	A
USGS	11460151	2017-01-17	24.6	A
USGS	11460151	2017-01-18	31.2	A
USGS	11460151	2017-01-19	51.4	A
USGS	11460151	2017-01-20	111	A
USGS	11460151	2017-01-21	87.6	A
USGS	11460151	2017-01-22	201	A
USGS	11460151	2017-01-23	127	A
USGS	11460151	2017-01-24	75.8	A
USGS	11460151	2017-01-25	50.1	A
USGS	11460151	2017-01-26	35.8	A
USGS	11460151	2017-01-27	27.5	A
USGS	11460151	2017-01-28	21.1	A
USGS	11460151	2017-01-29	16.6	A
USGS	11460151	2017-01-30	13.6	A
USGS	11460151	2017-01-31	11.5	A
USGS	11460151	2017-02-01	9.93	A
USGS	11460151	2017-02-02	14.1	A
USGS	11460151	2017-02-03	50.9	A
USGS	11460151	2017-02-04	65.0	A
USGS	11460151	2017-02-05	58.6	A
USGS	11460151	2017-02-06	75.7	A
USGS	11460151	2017-02-07	415	A
USGS	11460151	2017-02-08	211	A
USGS	11460151	2017-02-09	273	A
USGS	11460151	2017-02-10	170	A
USGS	11460151	2017-02-11	79.1	A
USGS	11460151	2017-02-12	51.3	A
USGS	11460151	2017-02-13	39.3	A
USGS	11460151	2017-02-14	31.9	A
USGS	11460151	2017-02-15	27.5	A
USGS	11460151	2017-02-16	29.0	A
USGS	11460151	2017-02-17	60.2	A
USGS	11460151	2017-02-18	111	A
USGS	11460151	2017-02-19	75.7	A
USGS	11460151	2017-02-20	245	A
USGS	11460151	2017-02-21	211	A
USGS	11460151	2017-02-22	103	A
USGS	11460151	2017-02-23	60.0	A
USGS	11460151	2017-02-24	42.2	A
USGS	11460151	2017-02-25	35.0	A
USGS	11460151	2017-02-26	30.1	A
USGS	11460151	2017-02-27	25.3	A
USGS	11460151	2017-02-28	19.7	A
USGS	11460151	2017-03-01	16.8	A
USGS	11460151	2017-03-02	15.1	A
USGS	11460151	2017-03-03	13.8	A
USGS	11460151	2017-03-04	13.4	A
USGS	11460151	2017-03-05	16.9	A
USGS	11460151	2017-03-06	20.5	A
USGS	11460151	2017-03-07	19.1	A
USGS	11460151	2017-03-08	17.3	A
USGS	11460151	2017-03-09	15.8	A
USGS	11460151	2017-03-10	14.5	A
USGS	11460151	2017-03-11	13.2	A
USGS	11460151	2017-03-12	12.1	A
USGS	11460151	2017-03-13	11.1	A
USGS	11460151	2017-03-14	10.4	A
USGS	11460151	2017-03-15	9.71	A
USGS	11460151	2017-03-16	9.20	A
USGS	11460151	2017-03-17	8.56	A
USGS	11460151	2017-03-18	8.01	A
USGS	11460151	2017-03-19	7.66	A
USGS	11460151	2017-03-20	8.94	A
USGS	11460151	2017-03-21	37.8	A
USGS	11460151	2017-03-22	30.9	A
USGS	11460151	2017-03-23	24.4	A
USGS	11460151	2017-03-24	47.9	A
USGS	11460151	2017-03-25	49.1	A
USGS	11460151	2017-03-26	36.8	A
USGS	11460151	2017-03-27	31.1	A
USGS	11460151	2017-03-28	25.3	A
USGS	11460151	2017-03-29	20.6	A
USGS	11460151	2017-03-30	17.6	A
USGS	11460151	2017-03-31	15.1	A
USGS	11460151	2017-04-01	13.0	A
USGS	11460151	2017-04-02	11.5	A
USGS	11460151	2017-04-03	9.98	A
USGS	11460151	2017-04-04	8.80	A
USGS	11460151	2017-04-05	8.02	A
USGS	11460151	2017-04-06	10.8	A
USGS	11460151	2017-04-07	36.0	A
USGS	11460151	2017-04-08	51.5	A
USGS	11460151	2017-04-09	33.4	A
USGS	11460151	2017-04-10	26.4	A
USGS	11460151	2017-04-11	22.2	A
USGS	11460151	2017-04-12	21.5	A
USGS	11460151	2017-04-13	20.1	A
USGS	11460151	2017-04-14	17.8	A
USGS	11460151	2017-04-15	16.3	A
USGS	11460151	2017-04-16	15.9	A
USGS	11460151	2017-04-17	16.6	A
USGS	11460151	2017-04-18	16.7	A
USGS	11460151	2017-04-19	15.9	A
USGS	11460151	2017-04-20	16.4	A
USGS	11460151	2017-04-21	15.1	A
USGS	11460151	2017-04-22	14.3	A
USGS	11460151	2017-04-23	13.2	A
USGS	11460151	2017-04-24	12.4	P
USGS	11460151	2017-04-25	11.2	P
USGS	11460151	2017-04-26	10.7	P
USGS	11460151	2017-04-27	9.86	P
USGS	11460151	2017-04-28	8.94	P
USGS	11460151	2017-04-29	8.09	P
USGS	11460151	2017-04-30	7.53	P
USGS	11460151	2017-05-01	7.09	P
USGS	11460151	2017-05-02	6.66	P
USGS	11460151	2017-05-03	6.29	P
USGS	11460151	2017-05-04	5.94	P
USGS	11460151	2017-05-05	5.72	P
USGS	11460151	2017-05-06	5.44	P
USGS	11460151	2017-05-07	5.19	P
USGS	11460151	2017-05-08	4.94	P
USGS	11460151	2017-05-09	4.75	P
USGS	11460151	2017-05-10	4.57	P
USGS	11460151	2017-05-11	4.42	P
USGS	11460151	2017-05-12	4.25	P
USGS	11460151	2017-05-13	4.05	P
USGS	11460151	2017-05-14	3.94	P
USGS	11460151	2017-05-15	3.79	P
USGS	11460151	2017-05-16	3.64	P
USGS	11460151	2017-05-17	3.44	P
USGS	11460151	2017-05-18	3.15	P
USGS	11460151	2017-05-19	3.06	P
USGS	11460151	2017-05-20	2.93	P
USGS	11460151	2017-05-21	2.83	P
USGS	11460151	2017-05-22	2.78	P
USGS	11460151	2017-05-23	2.72	P
USGS	11460151	2017-05-24	2.69	P
USGS	11460151	2017-05-25	2.74	P
USGS	11460151	2017-05-26	2.62	P
USGS	11460151	2017-05-27	2.49	P
USGS	11460151	2017-05-28	2.42	P
USGS	11460151	2017-05-29	2.36	P
USGS	11460151	2017-05-30	2.27	P
USGS	11460151	2017-05-31	2.21	P
USGS	11460151	2017-06-01	2.17	P
USGS	11460151	2017-06-02	1.97	P
USGS	11460151	2017-06-03	1.81	P
USGS	11460151	2017-06-04	1.64	P
USGS	11460151	2017-06-05	1.48	P
USGS	11460151	2017-06-06	1.35	P
USGS	11460151	2017-06-07	1.25	P
USGS	11460151	2017-06-08	2.05	P
USGS	11460151	2017-06-09	1.67	P
USGS	11460151	2017-06-10	1.19	P
USGS	11460151	2017-06-11	1.02	P
USGS	11460151	2017-06-12	0.89	P
USGS	11460151	2017-06-13	0.78	P
USGS	11460151	2017-06-14	0.67	P
USGS	11460151	2017-06-15	0.58	P
USGS	11460151	2017-06-16	0.50	P
USGS	11460151	2017-06-17	0.43	P
USGS	11460151	2017-06-18	0.36	P
USGS	11460151	2017-06-19	0.31	P
USGS	11460151	2017-06-20	0.27	P
USGS	11460151	2017-06-21	0.24	P
USGS	11460151	2017-06-22	0.20	P
USGS	11460151	2017-06-23	0.17	P
USGS	11460151	2017-06-24	0.15	P
USGS	11460151	2017-06-25	0.13	P
USGS	11460151	2017-06-26	0.11	P
USGS	11460151	2017-06-27	0.09	P
USGS	11460151	2017-06-28	0.07	P
USGS	11460151	2017-06-29	0.05	P
USGS	11460151	2017-06-30	0.04	P
USGS	11460151	2017-07-01	0.03	P
USGS	11460151	2017-07-02	0.03	P
USGS	11460151	2017-07-03	0.03	P
USGS	11460151	2017-07-04	0.03	P
USGS	11460151	2017-07-05	0.03	P
USGS	11460151	2017-07-06	0.02	P
USGS	11460151	2017-07-07	0.02	P
USGS	11460151	2017-07-08	0.01	P
USGS	11460151	2017-07-09	0.02	P
USGS	11460151	2017-07-10	0.02	P
USGS	11460151	2017-07-11	0.02	P
USGS	11460151	2017-07-12	0.02	P
